,Label,Mean_normalized,Median_normalized,Area,total_intensity,Skew,Kurt
54,MAX_IF43b-2_001_thumb_w1405-0003:0009-0837,19.3710,18,12835.0000,248626.7850,0.3430,0.9830
55,MAX_IF43b-2_001_thumb_w1405-0003:0010-1005,36.7300,36,12269.0000,450640.3700,0.0570,-0.6580
56,MAX_IF43b-2_001_thumb_w1405-0003:0011-1141,7.8800,7,7498.0000,59084.2400,0.1200,-0.0170
57,MAX_IF43b-2_001_thumb_w1405-0003:0012-1148,11.0600,10,6688.0000,73969.2800,0.0750,0.8800
58,MAX_IF43b-2_001_thumb_w1405-0003:0013-1184,11.0310,9,5052.0000,55728.6120,0.4400,-0.1450
59,MAX_IF43b-2_001_thumb_w1405-0003:0014-1225,8.1220,6,5155.0000,41868.9100,0.5170,-0.0910
60,MAX_IF43b-2_001_thumb_w1405-0003:0015-1271,-8.9890,-10,1154.0000,-10373.3060,0.6410,0.4300
61,MAX_IF43b-2_001_thumb_w1405-0004:0001-0180,208.2020,180,15896.0000,3309578.9920,2.7360,8.4930
62,MAX_IF43b-2_001_thumb_w1405-0004:0002-0218,199.1320,150,15867.0000,3159627.4440,3.7870,17.8800
63,MAX_IF43b-2_001_thumb_w1405-0004:0003-0385,177.9880,150,22216.0000,3954181.4080,3.7290,17.6360
64,MAX_IF43b-2_001_thumb_w1405-0004:0004-0474,221.4160,182,10952.0000,2424948.0320,1.3180,1.0980
65,MAX_IF43b-2_001_thumb_w1405-0004:0005-0535,219.4800,182,5066.0000,1111885.6800,1.2940,1.0330
66,MAX_IF43b-2_001_thumb_w1405-0004:0006-0559,242.0710,212,5456.0000,1320739.3760,1.0450,0.3650
67,MAX_IF43b-2_001_thumb_w1405-0004:0007-0691,159.6330,139,26329.0000,4202977.2570,5.6900,49.6330
68,MAX_IF43b-2_001_thumb_w1405-0004:0008-0818,151.1310,129,7297.0000,1102802.9070,4.8570,26.9600
69,MAX_IF43b-2_001_thumb_w1405-0004:0009-0837,175.6100,138,12835.0000,2253954.3500,3.6490,15.2510
70,MAX_IF43b-2_001_thumb_w1405-0004:0010-1005,177.3910,157,12269.0000,2176410.1790,1.5960,2.8460
71,MAX_IF43b-2_001_thumb_w1405-0004:0011-1141,169.3650,136,7498.0000,1269898.7700,3.1860,11.0420
72,MAX_IF43b-2_001_thumb_w1405-0004:0012-1148,169.9580,139,6688.0000,1136679.1040,4.3090,24.9480
73,MAX_IF43b-2_001_thumb_w1405-0004:0013-1184,151.3260,144,5052.0000,764498.9520,1.2970,1.6120
74,MAX_IF43b-2_001_thumb_w1405-0004:0014-1225,142.4430,134,5155.0000,734293.6650,1.6490,2.5120
75,MAX_IF43b-2_001_thumb_w1405-0004:0015-1271,135.9900,126,1154.0000,156932.4600,4.5730,23.6590
