nucleus_id,Mean_normalized_w1405-0001,Mean_normalized_w1405-0002,Mean_normalized_w1405-0003,Mean_normalized_w1405-0004,Median_normalized_w1405-0001,Median_normalized_w1405-0002,Median_normalized_w1405-0003,Median_normalized_w1405-0004,Area_w1405-0001,Area_w1405-0002,Area_w1405-0003,Area_w1405-0004,total_intensity_w1405-0001,total_intensity_w1405-0002,total_intensity_w1405-0003,total_intensity_w1405-0004,Skew_w1405-0001,Skew_w1405-0002,Skew_w1405-0003,Skew_w1405-0004,Kurt_w1405-0001,Kurt_w1405-0002,Kurt_w1405-0003,Kurt_w1405-0004,ratio_RNAPII_to_DNA,cell_cycle,ratio_RNAPII_to_DNA_MvsI,RNAPII_abs_MvsI
MAX_IF43b-2_007_thumb0014-0779,41.581,259.958,3.659,157.924,41.0,276.0,5.0,135.0,13684.0,13684.0,13684.0,13684.0,568994.404,3557265.272,50069.756,2161032.016,0.375,0.006,1.083,4.721,-0.008,-0.7,5.045,28.612,6.251845794954426,I,0.8089031989875705,0.7290726459632269
MAX_IF43b-2_007_thumb0015-0983,81.596,295.183,43.365,202.244,85.0,312.0,44.0,177.0,14096.0,14096.0,14096.0,14096.0,1150177.216,4160899.568,611273.04,2850831.424,-0.148,-0.038,0.203,1.475,-0.86,0.111,0.131,2.092,3.617616059610765,I,0.46806995874556584,0.8278639274550627
MAX_IF43b-2_002_thumb0001-0065,51.227,378.79,23.94,176.902,51.0,397.0,24.0,144.0,6953.0,6953.0,6953.0,6953.0,356181.331,2633726.87,166454.82,1229999.606,-0.29,-0.043,1.638,3.585,-0.233,0.156,7.19,16.031,7.394342827024812,I,0.9567266633509101,1.0623463311935417
MAX_IF43b-2_002_thumb0002-0096,61.864,398.897,17.261,173.648,59.0,402.0,17.0,141.0,7648.0,7648.0,7648.0,7648.0,473135.872,3050764.256,132012.128,1328059.904,0.353,0.043,1.833,5.847,-0.033,-0.797,8.298,45.61,6.447966507177034,I,0.8342785324023232,1.1187379932788883
MAX_IF43b-2_002_thumb0003-0155,58.524,393.998,25.233,173.564,59.0,399.0,24.0,144.0,12088.0,12088.0,12088.0,12088.0,707438.112,4762647.824,305016.504,2098041.632,-0.121,0.191,4.059,4.479,-0.04,-0.684,32.123,28.076,6.732246599685599,I,0.8710604818906242,1.1049983626748145
MAX_IF43b-2_002_thumb0006-0287,31.414,358.747,29.54,172.951,30.0,369.0,29.0,143.0,15681.0,15681.0,15681.0,15681.0,492602.934,5625511.707,463216.74,2712044.631,0.559,0.036,1.34,3.522,-0.1,-0.766,5.638,14.819,11.41997198701216,I,1.477587927728137,1.0061341621391522
MAX_IF43b-2_002_thumb0007-0384,62.637,433.836,42.407,205.481,62.0,453.0,40.0,165.0,17879.0,17879.0,17879.0,17879.0,1119886.923,7756553.844,758194.753,3673794.799,-0.0003,0.041,2.592,3.742,0.898,-0.985,11.203,16.691,6.926193783227166,I,0.8961545904702084,1.2167271652886331
MAX_IF43b-2_002_thumb0008-0450,50.029,347.182,17.389,177.756,49.0,360.0,17.0,152.0,29064.0,29064.0,29064.0,29064.0,1454042.856,10090497.648,505393.896,5166300.384,0.315,0.13,2.447,4.968,1.025,-0.707,15.112,38.419,6.9396150232864935,I,0.8978911150702124,0.9736992105294126
MAX_IF43b-2_008_thumb0010-1065,43.014,394.823,30.029,172.962,41.0,401.0,28.0,143.0,20012.0,20012.0,20012.0,20012.0,860796.168,7901197.876,600940.348,3461315.544,0.498,0.157,1.704,4.112,-0.219,-0.647,5.354,23.21,9.178941739898637,I,1.187629314644455,1.1073121400270007
MAX_IF43b-2_008_thumb0014-1314,27.336,291.478,-4.198,151.093,26.0,321.0,-5.0,133.0,6075.0,6075.0,6075.0,6075.0,166066.2,1770728.85,-25502.85,917889.975,0.825,-0.371,0.736,4.536,0.691,-0.586,2.88,29.004,10.662788996195493,I,1.3796188217106968,0.8174729637097894
