nucleus_id,Mean_normalized_w1405-0001,Mean_normalized_w1405-0002,Mean_normalized_w1405-0003,Mean_normalized_w1405-0004,Median_normalized_w1405-0001,Median_normalized_w1405-0002,Median_normalized_w1405-0003,Median_normalized_w1405-0004,Area_w1405-0001,Area_w1405-0002,Area_w1405-0003,Area_w1405-0004,total_intensity_w1405-0001,total_intensity_w1405-0002,total_intensity_w1405-0003,total_intensity_w1405-0004,Skew_w1405-0001,Skew_w1405-0002,Skew_w1405-0003,Skew_w1405-0004,Kurt_w1405-0001,Kurt_w1405-0002,Kurt_w1405-0003,Kurt_w1405-0004,ratio_RNAPII_to_DNA,cell_cycle,ratio_RNAPII_to_DNA_MvsI,RNAPII_abs_MvsI
MAX_IF43b-2_008_thumb0009-0880,94.295,352.871,43.542,188.016,96.0,360.0,41.0,173.0,12576.0,12576.0,12576.0,12576.0,1185853.92,4437705.696,547584.192,2364489.216,-0.149,0.311,0.33,1.374,-0.987,-0.101,-0.723,1.842,3.742202661859059,M,0.48418975830795596,0.9896544582343678
MAX_IF43b-2_002_thumb0010-0511,76.628,184.063,41.391,162.512,74.0,175.0,44.0,145.0,5835.0,5835.0,5835.0,5835.0,447124.38,1074007.605,241516.485,948257.52,0.11,1.136,-0.032,1.753,-0.923,1.167,-0.386,2.614,2.402033199352717,M,0.3107901894507501,0.5162191524551251
MAX_IF43b-2_002_thumb0016-1239,68.369,257.818,13.983,178.605,73.0,275.0,15.0,154.0,11401.0,11401.0,11401.0,11401.0,779474.969,2939383.018,159420.183,2036275.605,-0.281,-0.479,0.132,1.312,-0.993,0.15,-0.537,1.082,3.7709780748584882,M,0.4879129025426094,0.7230708477405857
MAX_IF43b-2_009_thumb0008-0595,124.397,359.127,33.473,215.804,134.0,374.0,29.0,175.0,12316.0,12316.0,12316.0,12316.0,1532073.452,4423008.132,412253.468,2657842.064,-0.218,-0.216,0.491,1.499,-1.287,0.078,-0.886,1.906,2.8869426111562175,M,0.3735308243435037,1.0071999020104623
MAX_IF43b-2_009_thumb0006-0526,81.325,183.573,45.362,167.307,82.0,186.0,45.0,149.0,7173.0,7173.0,7173.0,7173.0,583344.225,1316769.129,325381.626,1200093.111,-0.058,0.54,0.378,2.315,-1.123,0.202,-0.45,6.555,2.257276360282816,M,0.29206063756489375,0.5148449089368569
MAX_IF43b-2_008_thumb0008-0847,93.057,452.799,48.151,202.91,99.0,458.0,46.0,161.0,14250.0,14250.0,14250.0,14250.0,1326062.25,6452385.75,686151.75,2891467.5,-0.283,0.191,0.588,1.69,-1.046,0.16,-0.035,2.643,4.8658241722815045,M,0.6295709887544096,1.2699103894456147
MAX_IF43b-2_008_thumb0012-1144,66.002,183.331,26.285,154.37,68.0,196.0,23.0,144.0,5956.0,5956.0,5956.0,5956.0,393107.912,1091919.436,156553.46,919427.72,-0.143,0.187,1.878,1.657,-1.041,-0.085,4.438,3.43,2.7776582527802187,M,0.3593909255057887,0.5141662009135488
MAX_IF43b-2_008_thumb0013-1230,60.786,138.773,11.23,145.113,64.0,148.0,5.0,135.0,6443.0,6443.0,6443.0,6443.0,391644.198,894114.439,72354.89,934963.059,-0.285,0.299,1.355,1.998,-1.063,0.742,2.137,4.965,2.2829763432369297,M,0.29538586328339855,0.38919978726661564
MAX_IF43b-2_010_thumb0006-0740,87.446,333.293,35.628,183.152,85.0,347.0,32.0,161.0,15200.0,15200.0,15200.0,15200.0,1329179.2,5066053.6,541545.6,2783910.4,0.05,0.129,0.522,1.777,-1.234,-0.43,-0.123,3.426,3.811415044713309,M,0.4931448924773782,0.934746418233029
MAX_IF43b-2_010_thumb0005-0635,117.153,347.149,35.941,210.402,125.0,364.0,30.0,177.0,8677.0,8677.0,8677.0,8677.0,1016536.581,3012211.873,311860.057,1825658.154,-0.176,-0.048,0.566,1.871,-1.174,-0.384,-0.743,3.706,2.963210502505271,M,0.3833988446555331,0.973606659435325
MAX_IF43b-2_010_thumb0004-0586,128.27,354.183,30.025,186.519,137.0,372.0,27.0,162.0,4175.0,4175.0,4175.0,4175.0,535527.25,1478714.025,125354.375,778716.825,-0.284,-0.214,0.536,2.183,-1.277,-0.07,-0.494,5.369,2.7612302175099397,M,0.357265362796943,0.9933340653689964
MAX_IF43b-2_005_thumb0002-0384,114.607,474.932,43.1,203.348,117.0,478.0,41.0,166.0,11292.0,11292.0,11292.0,11292.0,1294142.244,5362932.144,486685.2,2296205.616,-0.146,0.498,0.672,1.729,-1.081,0.421,0.252,3.118,4.144005165478549,M,0.5361774978010395,1.3319841277922098
MAX_IF43b-2_001_thumb0006-0559,108.364,417.829,44.833,242.071,111.0,431.0,40.0,212.0,5456.0,5456.0,5456.0,5456.0,591233.984,2279675.024,244608.848,1320739.376,-0.19,0.589,0.285,1.045,-1.245,1.06,-1.181,0.365,3.855791591303385,M,0.4988866096716353,1.171834275499
MAX_IF43b-2_001_thumb0005-0535,120.759,419.682,36.625,219.48,132.0,442.0,35.0,182.0,5066.0,5066.0,5066.0,5066.0,611765.094,2126109.012,185542.25,1111885.68,-0.537,-0.105,0.163,1.294,-0.938,-0.117,-0.955,1.033,3.475368295530768,M,0.44966504679044333,1.1770311596609413
MAX_IF43b-2_011_thumb0004-0526,118.189,458.153,38.219,187.952,118.0,468.0,37.0,157.0,13957.0,13957.0,13957.0,13957.0,1649563.873,6394441.421,533422.583,2623246.064,-0.036,0.21,0.305,1.918,-1.165,-0.427,-0.425,3.751,3.8764436622697547,M,0.5015587047325687,1.2849261033166521
MAX_IF43b-2_006_thumb0011-1085,73.876,433.376,24.579,186.05,78.0,458.0,24.0,157.0,7983.0,7983.0,7983.0,7983.0,589752.108,3459640.608,196214.157,1485237.15,-0.154,-0.219,0.59,1.562,-1.188,-0.309,-0.193,2.207,5.8662623856191445,M,0.7590139881021128,1.215437059128626
MAX_IF43b-2_006_thumb0010-1032,73.665,397.123,22.301,173.969,76.0,410.0,23.0,148.0,5646.0,5646.0,5646.0,5646.0,415912.59,2242156.458,125911.446,982228.974,-0.143,-0.158,0.618,1.601,-1.243,-0.603,-0.009,1.98,5.390931921536685,M,0.6975127378180996,1.1137626708270356
MAX_IF43b-2_003_thumb0005-0307,106.967,318.433,51.404,186.043,107.0,330.0,52.0,155.0,6528.0,6528.0,6528.0,6528.0,698280.576,2078730.624,335565.312,1214488.704,-0.057,0.092,0.097,2.037,-1.422,-0.464,-1.133,3.932,2.9769274636102723,M,0.38517363150763023,0.8930703801075873
MAX_IF43b-2_003_thumb0006-0344,106.829,313.318,51.787,185.796,107.0,326.0,51.0,158.0,6350.0,6350.0,6350.0,6350.0,678364.15,1989569.3,328847.45,1179804.6,-0.145,0.139,0.316,2.322,-1.125,-0.403,-0.824,5.744,2.9328927538402496,M,0.37947614331491,0.8787249605240319
MAX_IF43b-2_006_thumb0008-0675,108.285,324.735,36.994,177.907,123.0,343.0,34.0,164.0,12570.0,12570.0,12570.0,12570.0,1361142.45,4081918.95,465014.58,2236290.99,-0.458,-0.213,0.832,2.055,-1.112,-0.411,0.667,5.598,2.998891813270536,M,0.3880155174540507,0.9107448344996825
MAX_IF43b-2_003_thumb0011-0709,100.687,437.869,29.586,211.743,108.0,442.0,28.0,187.0,7052.0,7052.0,7052.0,7052.0,710044.724,3087852.188,208640.472,1493211.636,-0.494,0.288,0.408,1.82,-0.967,-0.484,-0.703,4.433,4.348813650222969,M,0.5626769099623667,1.2280380308175636
MAX_IF43b-2_006_thumb0001-0135,87.3,407.116,54.698,228.84,93.0,418.0,58.0,193.0,14471.0,14471.0,14471.0,14471.0,1263318.3,5891375.636,791534.758,3311543.64,-0.17,-0.08,-0.076,1.917,-1.022,-0.077,-0.326,4.239,4.663413516609393,M,0.6033818228260878,1.141788824863882
MAX_IF43b-2_012_thumb0012-0717,120.994,402.421,14.941,191.915,128.0,426.0,13.0,180.0,5344.0,5344.0,5344.0,5344.0,646591.936,2150537.824,79844.704,1025593.76,-0.292,-0.118,1.162,0.896,-1.058,-0.305,1.219,0.216,3.3259583119824123,M,0.4303334417546179,1.1286213282959852
MAX_IF43b-2_002_thumb0015-1091,76.087,319.448,27.857,200.051,75.0,334.0,27.0,164.0,11755.0,11755.0,11755.0,11755.0,894402.685,3755111.24,327459.035,2351599.505,0.023,0.006,0.625,2.227,-1.068,-0.166,0.03,7.228,4.198457029453126,M,0.5432228230384948,0.8959170273954287
MAX_IF43b-2_012_thumb0010-0707,117.909,446.143,31.502,185.721,125.0,454.0,30.0,164.0,5260.0,5260.0,5260.0,5260.0,620201.34,2346712.18,165700.52,976892.46,-0.24,0.503,0.351,1.639,-0.985,-0.289,-0.758,2.637,3.78379088958434,M,0.4895707052395571,1.251243114226036
MAX_IF43b-2_002_thumb0009-0436,84.565,215.005,47.028,162.149,84.0,220.0,46.0,145.0,6225.0,6225.0,6225.0,6225.0,526417.125,1338406.125,292749.3,1009377.525,-0.094,0.613,0.493,2.001,-1.098,0.405,-0.377,4.192,2.5424821143499083,M,0.3289623549778094,0.6029984237658529
MAX_IF43b-2_007_thumb0012-0765,102.883,226.185,34.879,194.066,103.0,244.0,30.0,165.0,11822.0,11822.0,11822.0,11822.0,1216282.826,2673959.07,412339.538,2294248.252,-0.07,-0.438,1.693,1.795,-1.354,0.711,3.503,3.894,2.1984681628646134,M,0.2844516624592268,0.6343536126112389
MAX_IF43b-2_004_thumb0006-0514,91.731,436.541,57.171,212.373,94.0,441.0,57.0,177.0,7249.0,7249.0,7249.0,7249.0,664958.019,3164485.709,414432.579,1539491.877,-0.258,0.183,-0.014,1.378,-1.123,-0.499,-1.184,1.384,4.7589255540656925,M,0.6157397720100831,1.2243135504251956
MAX_IF43b-2_004_thumb0013-1016,70.187,178.418,39.434,166.766,72.0,174.0,38.0,148.0,4511.0,4511.0,4511.0,4511.0,316613.557,804843.598,177886.774,752281.426,-0.094,0.982,0.171,2.582,-1.026,0.662,-0.358,8.118,2.5420376992890423,M,0.32890485375717743,0.500387306208953
MAX_IF43b-2_002_thumb0005-0189,93.551,184.513,53.359,178.578,94.0,168.0,49.0,154.0,5889.0,5889.0,5889.0,5889.0,550921.839,1086597.057,314231.151,1051645.842,-0.131,1.392,0.781,2.138,-1.116,1.978,0.264,5.338,1.9723252557428568,M,0.2551918683122294,0.5174812128290449
MAX_IF43b-2_015_thumb0006-0839,63.439,143.69,-2.651,157.448,63.0,156.0,-3.0,140.0,7125.0,7125.0,7125.0,7125.0,452002.875,1023791.25,-18888.375,1121817.0,0.081,-0.01,0.666,1.457,-1.1,-0.313,-0.362,1.694,2.265010482510758,M,0.29306132702793075,0.40298990028564635
MAX_IF43b-2_007_thumb0019-1305,60.597,179.472,12.845,147.525,64.0,197.0,13.0,138.0,6182.0,6182.0,6182.0,6182.0,374610.654,1109495.904,79407.79,911999.55,-0.271,-0.093,0.45,2.198,-1.112,-0.647,-0.576,5.052,2.9617307787514235,M,0.3832073886731941,0.5033433320625341
MAX_IF43b-2_002_thumb0004-0129,96.391,187.981,48.604,178.289,103.0,170.0,49.0,150.0,5554.0,5554.0,5554.0,5554.0,535355.614,1044046.474,269946.616,990217.106,-0.453,1.395,0.329,1.571,-0.907,2.206,-0.489,1.664,1.9501924453527817,M,0.2523281858551915,0.5272074914440538
MAX_IF43b-2_007_thumb0017-1269,62.74,166.775,8.982,153.078,65.0,179.0,10.0,139.0,5628.0,5628.0,5628.0,5628.0,353100.72,938609.7,50550.696,861522.984,-0.165,0.21,0.284,1.519,-1.06,-0.603,-0.638,1.667,2.6581925406439275,M,0.3439336989704886,0.46773359746773385
MAX_IF43b-2_007_thumb0005-0241,98.681,522.522,36.601,177.905,100.0,543.0,39.0,149.0,5353.0,5353.0,5353.0,5353.0,528239.393,2797060.266,195925.153,952325.465,0.052,-0.03,0.088,2.05,-0.988,-0.765,0.92,4.39,5.295061866012708,M,0.6851084660007992,1.4654540237807538
MAX_IF43b-2_015_thumb0005-0831,62.868,159.519,5.597,159.253,61.0,172.0,8.0,142.0,5881.0,5881.0,5881.0,5881.0,369726.708,938131.239,32915.957,936566.893,0.061,-0.025,-0.204,1.679,-1.184,-0.002,-0.069,2.457,2.5373640007635045,M,0.328300141195095,0.4473835750829287
MAX_IF43b-2_007_thumb0003-0188,97.815,549.879,44.123,185.987,89.0,555.0,43.0,150.0,5510.0,5510.0,5510.0,5510.0,538960.65,3029833.29,243117.73,1024788.37,0.35,0.335,1.269,1.99,-1.077,-0.396,2.312,3.776,5.621622450544395,M,0.7273609319371984,1.5421788807792536
MAX_IF43b-2_004_thumb0008-0664,98.495,316.075,43.365,181.552,99.0,323.0,41.0,152.0,13039.0,13039.0,13039.0,13039.0,1284276.305,4121301.925,565436.235,2367256.528,-0.089,0.083,0.254,2.47,-1.129,-0.092,-0.71,6.238,3.2090461444743386,M,0.4152066089120396,0.8864571837482474
MAX_IF43b-2_001_thumb0004-0474,93.405,456.394,44.831,221.416,100.0,464.0,45.0,182.0,10952.0,10952.0,10952.0,10952.0,1022971.56,4998427.088,490989.112,2424948.032,-0.451,0.369,0.023,1.318,-0.696,0.083,-0.111,1.098,4.886183823135807,I,0.6322052486588376,1.27999284954393
MAX_IF43b-2_004_thumb0005-0556,51.025,402.993,31.976,162.649,49.0,409.0,30.0,141.0,32504.0,32504.0,32504.0,32504.0,1658516.6,13098884.472,1039347.904,5286743.096,0.468,0.172,1.964,4.572,0.355,-0.617,10.221,26.988,7.897951984321411,I,1.0218867891341505,1.1302255472601677
MAX_IF43b-2_004_thumb0004-0264,57.504,497.398,39.359,182.355,58.0,496.0,35.0,145.0,19580.0,19580.0,19580.0,19580.0,1125928.32,9739052.84,770649.22,3570510.9,-0.376,0.198,3.783,3.697,0.158,-0.781,21.389,17.554,8.649798274902617,I,1.1191653992510064,1.3949917908155052
MAX_IF43b-2_001_thumb0007-0691,40.752,386.972,14.301,159.633,39.0,405.0,13.0,139.0,26329.0,26329.0,26329.0,26329.0,1072959.408,10188585.788,376531.029,4202977.257,1.152,-0.067,2.338,5.69,1.844,-0.592,13.382,49.633,9.495779348252846,I,1.2286237606629624,1.0852933933700128
MAX_IF43b-2_001_thumb0003-0385,51.654,443.373,37.797,177.988,50.0,456.0,33.0,150.0,22216.0,22216.0,22216.0,22216.0,1147545.264,9849974.568,839698.152,3954181.408,0.549,0.174,2.465,3.729,0.226,-0.659,10.328,17.636,8.583517249390173,I,1.110589542563616,1.2434744314799073
MAX_IF43b-2_001_thumb0002-0218,61.762,546.999,33.066,199.132,61.0,543.0,30.0,150.0,15867.0,15867.0,15867.0,15867.0,979977.654,8679233.133,524658.222,3159627.444,0.203,0.204,2.705,3.787,-0.208,-0.71,14.648,17.88,8.856562287490691,I,1.145917829925637,1.5341016943861667
MAX_IF43b-2_001_thumb0001-0180,58.031,658.811,60.962,208.202,58.0,683.0,58.0,180.0,15896.0,15896.0,15896.0,15896.0,922460.776,10472459.656,969051.952,3309578.992,0.156,-0.029,1.175,2.736,-0.353,-1.066,3.027,8.493,11.352742499698438,I,1.468889353077071,1.847687237783332
MAX_IF43b-2_006_thumb0013-1192,31.423,296.424,2.374,154.778,31.0,304.0,3.0,134.0,21049.0,21049.0,21049.0,21049.0,661422.727,6239428.776,49970.326,3257922.122,0.15,0.116,3.329,3.993,-0.007,-0.742,25.427,19.957,9.433345002068549,I,1.2205456115832243,0.8313444095084727
MAX_IF43b-2_006_thumb0012-1147,25.242,259.328,4.689,158.444,25.0,280.0,7.0,142.0,15142.0,15142.0,15142.0,15142.0,382214.364,3926744.576,71000.838,2399159.048,0.459,-0.013,-0.155,3.59,0.068,-0.574,-0.353,17.448,10.273670866016955,I,1.3292722663718706,0.7273057614397389
MAX_IF43b-2_001_thumb0008-0818,38.882,407.789,13.278,151.131,39.0,418.0,11.0,129.0,7297.0,7297.0,7297.0,7297.0,283721.954,2975636.333,96889.566,1102802.907,0.348,-0.071,2.291,4.857,-0.495,-0.696,11.422,26.96,10.487860706753768,I,1.3569854974791502,1.1436763062675444
MAX_IF43b-2_006_thumb0009-0958,29.069,252.747,4.254,140.304,28.0,270.0,5.0,131.0,18757.0,18757.0,18757.0,18757.0,545247.233,4740775.479,79792.278,2631682.128,0.676,-0.232,2.492,4.589,0.232,-0.51,13.419,28.208,8.694726340775397,I,1.1249784754849317,0.7088488296158136
MAX_IF43b-2_004_thumb0009-0799,43.112,425.681,18.677,161.802,41.0,436.0,19.0,136.0,32318.0,32318.0,32318.0,32318.0,1393293.616,13757158.558,603603.286,5229117.036,0.8,0.105,-0.047,4.626,0.799,-0.725,0.016,26.703,9.873840230098347,I,1.2775396595457684,1.193855826734597
MAX_IF43b-2_004_thumb0010-0947,74.323,168.888,40.708,166.404,80.0,165.0,39.0,148.0,6512.0,6512.0,6512.0,6512.0,483991.376,1099798.656,265090.496,1083622.848,-0.55,0.586,0.708,1.839,-0.852,-0.421,0.939,3.104,2.2723517619041216,I,0.294011188009906,0.47365967206793963
MAX_IF43b-2_001_thumb0010-1005,80.528,329.013,36.73,177.391,85.0,342.0,36.0,157.0,12269.0,12269.0,12269.0,12269.0,987998.032,4036660.497,450640.37,2176410.179,-0.5,0.273,0.057,1.596,-0.404,-0.413,-0.658,2.846,4.085696900456983,I,0.528633207098696,0.9227428217877469
MAX_IF43b-2_004_thumb0011-1059,29.816,372.122,21.459,154.142,29.0,378.0,21.0,136.0,29522.0,29522.0,29522.0,29522.0,880227.952,10985785.684,633512.598,4550580.124,0.344,0.101,1.661,5.544,-0.176,-0.671,8.091,43.314,12.480614435202577,I,1.6148205303005891,1.0436454010306584
MAX_IF43b-2_006_thumb0007-0581,27.184,322.36,28.423,160.051,27.0,349.0,28.0,138.0,19666.0,19666.0,19666.0,19666.0,534600.544,6339531.76,558966.718,3147562.966,0.327,-0.093,2.898,3.697,0.071,-0.821,15.366,16.916,11.858446144791053,I,1.534320476887775,0.9040839603039945
MAX_IF43b-2_006_thumb0006-0556,63.726,487.233,28.481,180.031,66.0,490.0,29.0,143.0,15968.0,15968.0,15968.0,15968.0,1017576.768,7780136.544,454784.608,2874735.008,-0.444,0.2,2.363,4.713,0.265,-0.767,11.585,31.211,7.645748987854251,I,0.9892551764348767,1.3664832492579604
MAX_IF43b-2_006_thumb0005-0432,46.866,428.079,30.601,173.341,47.0,427.0,31.0,139.0,16848.0,16848.0,16848.0,16848.0,789598.368,7212274.992,515565.648,2920449.168,-0.208,0.237,3.053,4.243,-0.102,-0.891,21.806,22.845,9.134105748303675,I,1.1818281515607119,1.2005812062382852
MAX_IF43b-2_006_thumb0004-0423,30.811,306.003,35.05,154.685,31.0,321.0,34.0,134.0,20291.0,20291.0,20291.0,20291.0,625186.001,6209106.873,711199.55,3138713.335,0.086,0.02,2.019,4.538,0.611,-0.914,6.67,30.405,9.931615332186556,I,1.2850149662685773,0.8582094680013128
MAX_IF43b-2_006_thumb0003-0380,41.16,418.685,28.773,167.289,41.0,457.0,30.0,139.0,18195.0,18195.0,18195.0,18195.0,748906.2,7617973.575,523524.735,3043823.355,0.013,-0.174,1.595,4.194,0.037,-1.026,8.447,25.49,10.172133138969874,I,1.316134675503491,1.1742349947880566
MAX_IF43b-2_006_thumb0002-0362,41.857,366.953,22.815,164.257,40.0,370.0,24.0,134.0,36872.0,36872.0,36872.0,36872.0,1543351.304,13530291.016,841234.68,6056484.104,0.848,0.27,1.811,8.227,1.054,-0.425,13.359,87.67,8.766825142747926,I,1.1343070727458908,1.0291485342022324
MAX_IF43b-2_012_thumb0017-1096,35.891,212.215,-2.696,145.935,36.0,221.0,-2.0,132.0,5935.0,5935.0,5935.0,5935.0,213013.085,1259496.025,-16000.76,866124.225,0.408,0.107,2.52,4.615,0.41,-0.903,9.758,27.523,5.912763645482155,I,0.7650306140864739,0.5951736494475499
MAX_IF43b-2_012_thumb0014-0770,41.201,280.976,-9.121,157.097,39.0,292.0,-8.0,134.0,9400.0,9400.0,9400.0,9400.0,387289.4,2641174.4,-85737.4,1476711.8,1.067,0.456,1.683,3.72,1.043,-0.188,4.271,18.822,6.819640299992718,I,0.8823680294643093,0.7880192791611091
MAX_IF43b-2_012_thumb0013-0726,47.681,272.036,-0.827,148.373,45.0,288.0,0.0,130.0,6752.0,6752.0,6752.0,6752.0,321942.112,1836787.072,-5583.904,1001814.496,0.53,0.285,0.863,4.26,-0.732,-0.562,0.491,24.168,5.705333361296953,I,0.7381919769947326,0.7629463463992351
MAX_IF43b-2_012_thumb0011-0749,53.641,320.835,5.598,151.695,53.0,327.0,6.0,133.0,16075.0,16075.0,16075.0,16075.0,862279.075,5157422.625,89987.85,2438497.125,0.367,0.427,1.143,4.171,-0.044,-0.443,1.815,24.569,5.9811524766503235,I,0.7738791919499264,0.8998069779257105
MAX_IF43b-2_001_thumb0009-0837,39.958,512.024,19.371,175.61,40.0,496.0,18.0,138.0,12835.0,12835.0,12835.0,12835.0,512860.93,6571828.04,248626.785,2253954.35,0.681,0.355,0.343,3.649,0.755,-0.518,0.983,15.251,12.81405475749537,I,1.6579631400546184,1.4360115575465084
MAX_IF43b-2_001_thumb0014-1225,59.014,234.121,8.122,142.443,63.0,246.0,6.0,134.0,5155.0,5155.0,5155.0,5155.0,304217.17,1206893.755,41868.91,734293.665,-0.769,0.327,0.517,1.649,-0.167,0.082,-0.091,2.512,3.967211170230793,I,0.5133027767973449,0.6566107484499674
MAX_IF43b-2_001_thumb0011-1141,31.51,389.151,7.88,169.365,31.0,425.0,7.0,136.0,7498.0,7498.0,7498.0,7498.0,236261.98,2917854.198,59084.24,1269898.77,0.454,-0.231,0.12,3.186,-0.508,-0.686,-0.017,11.042,12.350079339892098,I,1.5979310772270647,1.0914045701583936
MAX_IF43b-2_010_thumb0014-1320,24.243,221.247,-19.776,137.249,24.0,241.0,-21.0,127.0,5990.0,5990.0,5990.0,5990.0,145215.57,1325269.53,-118458.24,822121.51,0.671,-0.365,2.742,4.961,-0.027,-0.129,13.145,34.145,9.126222002227449,I,1.180808102821472,0.6205046034414253
MAX_IF43b-2_015_thumb0002-0162,55.383,304.739,56.456,154.122,55.0,318.0,58.0,132.0,26667.0,26667.0,26667.0,26667.0,1476898.461,8126474.913,1505512.152,4109971.374,-0.099,0.129,2.409,4.388,0.932,-0.725,20.996,23.913,5.502392430890345,I,0.7119342007802417,0.8546644806399024
MAX_IF43b-2_015_thumb0001-0138,49.798,256.664,37.468,148.92,48.0,277.0,39.0,132.0,35196.0,35196.0,35196.0,35196.0,1752690.408,9033546.144,1318723.728,5241388.32,0.74,-0.064,1.177,4.796,0.4,-0.705,8.855,29.226,5.154102574400578,I,0.6668702647316482,0.7198343640261335
MAX_IF43b-2_009_thumb0015-1379,25.244,259.094,-19.68,152.909,24.0,271.0,-18.0,132.0,4648.0,4648.0,4648.0,4648.0,117334.112,1204268.912,-91472.64,710721.032,0.497,0.119,0.177,2.923,-0.402,-0.638,-0.099,9.296,10.263587387101886,I,1.3279676023384253,0.7266494900453007
MAX_IF43b-2_015_thumb0004-0687,30.73,244.883,20.298,138.869,30.0,268.0,22.0,127.0,25583.0,25583.0,25583.0,25583.0,786165.59,6264841.789,519283.734,3552685.627,0.763,-0.141,-0.047,4.427,0.799,-0.636,1.086,24.898,7.968857793686951,I,1.0310610294951137,0.6867936234369124
MAX_IF43b-2_009_thumb0014-1082,21.286,274.938,2.409,144.061,21.0,283.0,3.0,128.0,10200.0,10200.0,10200.0,10200.0,217117.2,2804367.6,24571.8,1469422.2,0.006,-0.042,5.027,5.473,0.592,-0.301,48.598,38.9,12.916376961383067,I,1.6712022314792685,0.7710852335217137
