 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MAX_IF43b-2_001_thumb_w1405-0001:0716-0512,1245955,127.366,4.628,127,117,304,536.809,740.403,537.265,734.649,13139.459,0,0,1024,1432,1510.341,1050.358,87.201,0.091,1760.454,158692114,127,4.560,83.277,100,158692114,1,0,0,125.568,1024,1.438,0.695,0.850
2,MAX_IF43b-2_001_thumb_w1405-0002:0716-0512,1245955,133.621,59.938,116,110,1120,536.809,740.403,521.643,763.078,13139.459,0,0,1024,1432,1510.341,1050.358,87.201,0.091,1760.454,166485408,119,5.867,40.843,100,166485408,1,0,0,125.568,1024,1.438,0.695,0.850
3,MAX_IF43b-2_001_thumb_w1405-0003:0716-0512,1245955,191.165,14.547,192,147,421,536.809,740.403,533.865,716.738,13139.459,0,0,1024,1432,1510.341,1050.358,87.201,0.091,1760.454,238182875,192,1.176,7.193,100,238182875,1,0,0,125.568,1024,1.438,0.695,0.850
4,MAX_IF43b-2_001_thumb_w1405-0004:0716-0512,1245955,120.228,10.252,118,115,760,536.809,740.403,535.283,740.597,13139.459,0,0,1024,1432,1510.341,1050.358,87.201,0.091,1760.454,149798811,119,20.498,650.259,100,149798811,1,0,0,125.568,1024,1.438,0.695,0.850
