 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
56,MAX_IF43b-2_001_thumb_w1405-0003:0011-1141,7498,199.045,4.543,198,185,216,111.336,1138.048,111.097,1138.121,411.362,76,1078,84,126,117.556,81.210,90.294,0.557,128.082,1492442.000,199,0.120,-0.017,100,1492442.000,1,89,1204,79.655,84.000,1.448,0.691,0.882
57,MAX_IF43b-2_001_thumb_w1405-0003:0012-1148,6688,202.225,4.064,203,187,226,42.776,1147.420,42.733,1147.571,347.806,1,1083,74,131,124.430,68.436,76.884,0.695,136.971,1352482.000,202,0.075,0.880,100,1352482.000,1,24,1214,73.020,74.000,1.818,0.550,0.955
58,MAX_IF43b-2_001_thumb_w1405-0003:0013-1184,5052,202.196,8.228,201,183,228,920.608,1180.007,920.516,1179.644,292.049,874,1144,99,81,100.701,63.876,21.162,0.744,99.609,1021493.000,201,0.440,-0.145,100,1021493.000,1,874,1191,6.340,65.484,1.576,0.634,0.938
59,MAX_IF43b-2_001_thumb_w1405-0003:0014-1225,5155,199.287,7.610,196,182,224,946.071,1229.619,945.830,1229.540,296.434,892,1183,102,84,102.807,63.843,23.969,0.737,102.825,1027327.000,198,0.517,-0.091,100,1027327.000,1,892,1228,7.263,66.457,1.610,0.621,0.927
60,MAX_IF43b-2_001_thumb_w1405-0003:0015-1271,1154,182.176,2.127,181,178,192,462.156,1272.445,462.182,1272.483,141.882,441,1253,45,37,43.682,33.637,27.525,0.720,49.244,210231.000,182,0.641,0.430,100,210231.000,1,443,1289,29.168,36.503,1.299,0.770,0.910
61,MAX_IF43b-2_001_thumb_w1405-0004:0001-0180,15896,208.202,87.288,177,122,818,94.007,180.378,92.501,178.316,500.902,14,112,165,137,167.278,120.993,16.042,0.796,166.388,3309586.000,180,2.736,8.493,100,3309586.000,1,21,214,22.249,127.275,1.383,0.723,0.946
62,MAX_IF43b-2_001_thumb_w1405-0004:0002-0218,15867,199.132,137.187,132,121,1503,506.874,217.815,507.846,217.910,482.416,429,152,157,133,152.802,132.214,4.168,0.857,157.537,3159620.000,150,3.787,17.880,100,3159620.000,1,429,223,4.733,130.672,1.156,0.865,0.976
63,MAX_IF43b-2_001_thumb_w1405-0004:0003-0385,22216,177.988,83.530,142,121,1066,493.880,379.792,493.498,380.223,591.630,402,303,180,164,176.592,160.179,11.446,0.798,188.854,3954180.000,150,3.729,17.636,100,3954180.000,1,405,409,22.083,163.556,1.102,0.907,0.956
64,MAX_IF43b-2_001_thumb_w1405-0004:0004-0474,10952,221.416,85.843,148,131,625,248.213,475.068,246.887,474.345,416.274,178,415,132,118,138.364,100.781,27.900,0.794,139.671,2424945.000,182,1.318,1.098,100,2424945.000,1,181,499,29.134,100.379,1.373,0.728,0.956
65,MAX_IF43b-2_001_thumb_w1405-0004:0005-0535,5066,219.480,78.205,160,136,547,902.204,530.488,904.623,532.638,286.149,867,487,78,96,95.593,67.476,77.812,0.777,97.165,1111885.000,182,1.294,1.033,100,1111885.000,1,894,487,98.881,68.599,1.417,0.706,0.945
