 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
23,MAX_IF43b-2_001_thumb_w1405-0001:0009-0837,-1233120,39.9580,3.5490,38,32,-105,-433.3300,97.1150,-433.6140,102.5680,-12670.6410,44,769,-895,-1295,-1364.9280,-937.9740,29.5980,0.6430,-1600.0230,-156544514.0000,40,-3.8790,-82.5220,0,-156544514.0000,0,46,782,14.4890,-911.0900,-0.1440,0.0780,0.0760
24,MAX_IF43b-2_001_thumb_w1405-0001:0010-1005,-1233686,80.5280,19.5040,89,32,-45,-135.4290,265.9900,-135.7230,270.7090,-12709.0840,339,940,-899,-1301,-1381.6600,-928.9620,-1.8970,0.7410,-1625.2060,-156141460.0000,85,-5.0600,-83.6810,0,-156141460.0000,0,362,950,2.8270,-900.7520,-0.3780,0.2480,0.1110
25,MAX_IF43b-2_001_thumb_w1405-0001:0011-1141,-1238457,31.5100,0.8220,30,31,-128,-425.4730,397.6450,-426.2100,403.4120,-12728.0970,76,1078,-940,-1306,-1392.7850,-969.1480,3.0930,0.4660,-1632.3720,-157500859.0000,31,-4.1060,-83.7850,0,-157500859.0000,0,89,1204,-45.9130,-940.0000,0.0100,-0.0040,0.0320
26,MAX_IF43b-2_001_thumb_w1405-0001:0012-1148,-1239267,31.1360,1.2000,29,28,-126,-494.0330,407.0170,-494.3320,412.4780,-12791.6530,1,1083,-950,-1301,-1385.9110,-981.9220,-10.3170,0.6040,-1623.4830,-157632053.0000,30,-3.9090,-83.5570,0,-157632053.0000,0,24,1214,-52.5480,-950.0000,0.3800,-0.1450,0.1050
27,MAX_IF43b-2_001_thumb_w1405-0001:0013-1184,-1240903,60.9630,9.3000,65,33,-86,383.7990,439.6040,383.2990,445.4160,-12847.4100,874,1144,-925,-1351,-1409.6400,-986.4820,-66.0390,0.6530,-1660.8450,-157740676.0000,64,-5.2890,-83.1330,0,-157740676.0000,0,874,1191,-119.2280,-958.5160,0.1380,-0.0610,0.0880
28,MAX_IF43b-2_001_thumb_w1405-0001:0014-1225,-1240800,59.0140,9.1160,65,33,-91,409.2620,489.2160,408.7060,494.9260,-12843.0250,892,1183,-922,-1348,-1407.5340,-986.5150,-63.2320,0.6460,-1657.6290,-157731327.0000,63,-5.3290,-83.4440,0,-157731327.0000,0,892,1228,-118.3050,-957.5430,0.1720,-0.0740,0.0770
29,MAX_IF43b-2_001_thumb_w1405-0001:0015-1271,-1244801,28.5450,-0.9390,25,32,-138,-74.6530,532.0420,-75.1800,537.8680,-12997.5770,441,1253,-979,-1395,-1466.6590,-1016.7210,-59.6760,0.6290,-1711.2100,-158512193.0000,28,-4.0260,-83.7760,0,-158512193.0000,0,443,1289,-96.4000,-987.4970,-0.1390,0.0750,0.0600
29,MAX_IF43b-2_001_thumb_w1405-0002:0001-0180,-1230059,658.8110,267.9350,569,60,476,-442.8020,-560.0250,-430.6700,-583.5580,-12638.5570,14,112,-859,-1295,-1343.0630,-929.3650,-71.1590,0.7050,-1594.0660,-153888912.0000,683,-5.8960,-41.9090,0,-153888912.0000,0,21,214,-103.3190,-896.7250,-0.0550,0.0280,0.0960
30,MAX_IF43b-2_001_thumb_w1405-0002:0002-0218,-1230088,546.9990,215.9530,406,40,259,-29.9350,-522.5880,-14.2160,-544.2530,-12657.0430,429,152,-867,-1299,-1357.5390,-918.1440,-83.0330,0.7660,-1602.9170,-155686013.0000,543,-5.6630,-41.5530,0,-155686013.0000,0,429,223,-120.8350,-893.3280,-0.2820,0.1700,0.1260
31,MAX_IF43b-2_001_thumb_w1405-0002:0003-0385,-1223739,443.3730,154.3280,516,42,80,-42.9290,-360.6110,-30.1570,-383.5840,-12547.8290,402,303,-844,-1268,-1333.7490,-890.1790,-75.7550,0.7070,-1571.6000,-153666914.0000,456,-5.6930,-41.5020,0,-153666914.0000,0,405,409,-103.4850,-860.4440,-0.3360,0.2120,0.1060
32,MAX_IF43b-2_001_thumb_w1405-0002:0004-0474,-1235003,456.3940,34.8510,463,199,-171,-288.5960,-265.3350,-273.6180,-287.6310,-12723.1850,178,415,-892,-1314,-1371.9770,-949.5770,-59.3010,0.7030,-1620.7830,-160023564.0000,464,-5.4980,-40.7600,0,-160023564.0000,0,181,499,-96.4340,-923.6210,-0.0650,0.0330,0.1060
33,MAX_IF43b-2_001_thumb_w1405-0002:0005-0535,-1240889,419.6820,34.0680,462,180,-296,365.3950,-209.9150,381.2970,-232.9960,-12853.3100,867,487,-946,-1336,-1414.7480,-982.8820,-9.3890,0.6860,-1663.2890,-163682375.0000,442,-5.9720,-40.9600,0,-163682375.0000,0,894,487,-26.6870,-955.4010,-0.0210,0.0110,0.0950
34,MAX_IF43b-2_001_thumb_w1405-0002:0006-0559,-1240499,417.8290,42.3510,361,202,-126,418.4070,-176.5290,433.8740,-198.5450,-12836.6820,910,508,-939,-1329,-1413.4850,-978.6350,-1.5560,0.6570,-1656.0610,-163476696.0000,431,-5.2780,-39.7830,0,-163476696.0000,0,945,508,-26.1960,-950.3290,-0.0880,0.0460,0.0770
35,MAX_IF43b-2_001_thumb_w1405-0002:0007-0691,-1219626,386.9720,100.7900,462,32,-141,5.4030,-45.1130,19.6380,-68.4970,-12519.6460,449,604,-830,-1257,-1314.5780,-879.1150,-83.1590,0.7700,-1557.6490,-152778720.0000,405,-5.9340,-41.4350,0,-152778720.0000,0,456,750,-96.3490,-851.7180,-0.2950,0.1800,0.1330
36,MAX_IF43b-2_001_thumb_w1405-0002:0008-0818,-1238658,407.7890,129.9240,410,32,-144,-346.7080,77.1380,-334.4920,55.9520,-12786.7240,147,759,-939,-1313,-1392.8630,-971.2720,7.1980,0.6460,-1639.7850,-162534740.0000,418,-5.9380,-41.5390,0,-162534740.0000,0,174,878,-45.1080,-947.5410,0.0470,-0.0220,0.1060
37,MAX_IF43b-2_001_thumb_w1405-0002:0009-0837,-1233120,512.0240,170.1730,420,57,168,-433.3300,97.1150,-419.7030,77.7300,-12670.6410,44,769,-895,-1295,-1364.9280,-937.9740,29.5980,0.6430,-1600.0230,-158198553.0000,496,-5.5120,-41.3610,0,-158198553.0000,0,46,782,14.4890,-911.0900,-0.1440,0.0780,0.0760
38,MAX_IF43b-2_001_thumb_w1405-0002:0010-1005,-1233686,329.0130,-11.5920,373,242,-494,-135.4290,265.9900,-120.8050,242.5330,-12709.0840,339,940,-899,-1301,-1381.6600,-928.9620,-1.8970,0.7410,-1625.2060,-160809355.0000,342,-5.5940,-41.2560,0,-160809355.0000,0,362,950,2.8270,-900.7520,-0.3780,0.2480,0.1110
