 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MAX_IF43b-1_001_thumb_w1405-0001:0716-0512,997312,133.194,3.313,133,119,311,515.618,646.942,517.273,643.746,17080.818,0,0,1024,1432,1314.315,966.144,85.164,0.043,1760.454,132835724,133,6.941,300.001,100,132835724,1,0,0,125.568,1024,1.360,0.735,0.680
2,MAX_IF43b-1_001_thumb_w1405-0002:0716-0512,997312,127.574,19.571,116,111,532,515.618,646.942,514.859,665.605,17080.818,0,0,1024,1432,1314.315,966.144,85.164,0.043,1760.454,127231525,123,5.323,43.765,100,127231525,1,0,0,125.568,1024,1.360,0.735,0.680
3,MAX_IF43b-1_001_thumb_w1405-0003:0716-0512,997312,122.760,7.689,118,113,303,515.618,646.942,513.726,651.188,17080.818,0,0,1024,1432,1314.315,966.144,85.164,0.043,1760.454,122430080,121,4.792,46.011,100,122430080,1,0,0,125.568,1024,1.360,0.735,0.680
4,MAX_IF43b-1_001_thumb_w1405-0004:0716-0512,997312,120.444,3.662,119,114,348,515.618,646.942,515.416,648.152,17080.818,0,0,1024,1432,1314.315,966.144,85.164,0.043,1760.454,120120165,120,8.492,230.426,100,120120165,1,0,0,125.568,1024,1.360,0.735,0.680
