 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
19,MAX_IF43b-1_001_thumb_w1405-0001:0001-0183,-955805,30.3090,6.2930,26,25,-106,-200.4770,-465.0630,-202.1400,-461.7250,-16308.0100,192,78,-770,-1221,-1061.3920,-757.1940,-75.9680,0.8300,-1504.1530,-126049204.0000,28,-5.7140,-298.1220,0,-126049204.0000,0,193,210,-116.3630,-813.0000,-0.1500,0.0910,0.3080
20,MAX_IF43b-1_001_thumb_w1405-0001:0002-0419,-965172,36.1820,8.3060,40,24,-82,-348.6860,-225.6590,-349.4410,-221.9770,-16391.3900,58,330,-804,-1253,-1089.9950,-783.7170,-79.5340,0.8070,-1533.6210,-127391965.0000,36,-6.2760,-298.5300,0,-127391965.0000,0,60,466,-105.4550,-847.1000,-0.1300,0.0780,0.3000
21,MAX_IF43b-1_001_thumb_w1405-0001:0003-0504,-989987,120.1130,52.9800,175,24,29,17.9900,-138.3730,16.2120,-133.6580,-16744.5680,484,457,-921,-1338,-1204.7920,-880.9880,57.8310,0.7710,-1643.4200,-130980249.0000,139,-7.5100,-301.0480,0,-130980249.0000,0,490,475,13.9370,-931.6130,-0.0740,0.0430,0.2830
22,MAX_IF43b-1_001_thumb_w1405-0001:0004-0580,-993573,104.4190,50.7700,135,24,15,27.9570,-70.8230,26.4030,-69.1580,-16836.7940,502,552,-941,-1376,-1230.5390,-909.3180,92.3730,0.7460,-1674.6580,-131947288.0000,119,-7.2800,-301.3100,0,-131947288.0000,0,502,552,33.2510,-968.0000,0.1140,-0.0570,0.3000
23,MAX_IF43b-1_001_thumb_w1405-0001:0005-0711,-976281,34.3150,10.2120,28,22,-101,-1.7510,71.7540,-2.4880,73.7430,-16509.6150,417,639,-838,-1288,-1127.6650,-822.6810,-73.9290,0.7670,-1560.4520,-129312846.0000,33,-6.5110,-300.3420,0,-129312846.0000,0,417,768,-103.2350,-880.9300,-0.0590,0.0340,0.3000
24,MAX_IF43b-1_001_thumb_w1405-0001:0006-0823,-962413,35.6150,7.8250,33,24,-103,269.2890,171.0650,267.2250,173.4310,-16368.0510,677,713,-811,-1211,-1096.3350,-762.2960,19.0380,0.8200,-1537.6540,-126944470.0000,35,-6.3630,-299.5840,0,-126944470.0000,0,762,934,-47.4830,-821.4840,-0.2910,0.2000,0.3040
25,MAX_IF43b-1_001_thumb_w1405-0001:0007-0840,-981459,34.8230,9.9540,35,25,-89,-9.4890,186.7510,-10.1650,189.9960,-16580.1420,422,780,-862,-1312,-1148.5570,-844.3720,87.5760,0.7520,-1589.5480,-130172151.0000,34,-6.1330,-299.1970,0,-130172151.0000,0,422,789,29.5160,-905.0260,0.0010,0.0000,0.2970
26,MAX_IF43b-1_001_thumb_w1405-0001:0008-1029,-967067,33.8520,6.6160,32,24,-103,-37.2660,384.1370,-38.8430,386.6410,-16418.3950,382,922,-830,-1217,-1089.2340,-795.0540,-28.7850,0.8230,-1537.8310,-127783427.0000,33,-6.3780,-299.2010,0,-127783427.0000,0,412,1121,-71.6140,-853.2030,-0.0440,0.0250,0.3040
27,MAX_IF43b-1_001_thumb_w1405-0001:0009-1066,-971920,38.5690,6.6150,35,24,-110,188.3330,419.7430,187.0790,422.9100,-16453.1220,607,975,-827,-1249,-1099.2110,-815.8440,-41.9100,0.7670,-1543.9920,-128474324.0000,39,-7.1040,-299.9340,0,-128474324.0000,0,620,1135,-87.3220,-875.0320,0.0710,-0.0360,0.2920
28,MAX_IF43b-1_001_thumb_w1405-0001:0010-1093,-967549,30.9900,8.0160,26,24,-101,-301.7300,442.0820,-303.0800,444.8020,-16414.8800,111,994,-813,-1233,-1087.4200,-799.1260,-44.3400,0.8000,-1534.1950,-127949130.0000,29,-5.9940,-298.9690,0,-127949130.0000,0,151,1182,-76.0870,-856.0640,-0.0010,0.0010,0.3000
29,MAX_IF43b-1_001_thumb_w1405-0001:0011-1098,-990104,68.8130,29.8440,55,24,-40,405.7240,446.0920,404.1950,448.3620,-16739.2300,860,1044,-913,-1323,-1195.0420,-889.1980,54.5560,0.7330,-1642.0480,-131379655.0000,66,-6.8210,-300.9670,0,-131379655.0000,0,881,1053,1.8830,-948.5790,0.1900,-0.0900,0.2850
30,MAX_IF43b-1_001_thumb_w1405-0001:0012-1166,-969925,36.6000,18.5270,23,23,-58,308.4580,520.7980,309.4060,522.7970,-16409.2570,723,1057,-809,-1213,-1118.6940,-787.8900,-17.6600,0.7200,-1540.9410,-128185580.0000,30,-5.1450,-297.1360,0,-128185580.0000,0,804,1057,-31.6500,-853.1030,-0.2630,0.1760,0.2810
31,MAX_IF43b-1_001_thumb_w1405-0001:0013-1182,-985024,33.9720,8.4460,35,25,-99,22.9250,531.1750,22.1980,534.2460,-16626.8870,458,1118,-877,-1304,-1178.2820,-851.1310,-80.7290,0.7060,-1605.4700,-130781589.0000,33,-5.9910,-298.4140,0,-130781589.0000,0,458,1210,-105.9640,-906.6590,-0.1770,0.1100,0.2610
32,MAX_IF43b-1_001_thumb_w1405-0001:0014-1289,-975750,27.7940,5.1130,27,24,-121,146.3590,644.5130,144.1600,647.7350,-16519.3480,585,1198,-863,-1250,-1137.6810,-810.7180,12.4110,0.8160,-1577.9900,-129364491.0000,27,-6.2270,-299.6410,0,-129364491.0000,0,650,1380,-39.6540,-863.6220,-0.2240,0.1450,0.2950
33,MAX_IF43b-1_001_thumb_w1405-0001:0015-1289,-972871,23.6200,4.7310,22,22,-125,-322.3680,641.1350,-323.5030,643.4110,-16431.1640,89,1206,-813,-1265,-1087.8350,-828.7400,-59.9180,0.6850,-1540.1810,-129003027.0000,23,-6.2720,-299.9440,0,-129003027.0000,0,101,1350,-93.1770,-887.1120,0.2880,-0.1280,0.2870
34,MAX_IF43b-1_001_thumb_w1405-0001:0016-1267,-986848,29.2580,4.4120,27,25,-125,-11.7280,620.6410,-12.7980,623.6590,-16678.1420,445,1211,-897,-1319,-1187.1920,-861.3390,82.6290,0.7680,-1629.5800,-131135830.0000,29,-6.7330,-300.2200,0,-131135830.0000,0,457,1211,15.6350,-919.6660,-0.1470,0.0890,0.2940
35,MAX_IF43b-1_001_thumb_w1405-0001:0017-1339,-990810,19.3620,1.8620,21,24,-140,-99.0520,694.8220,-100.9650,698.1940,-16711.7400,367,1300,-912,-1353,-1201.6730,-892.6490,-77.4100,0.5570,-1640.4830,-131843808.0000,19,-6.4610,-300.2110,0,-131843808.0000,0,367,1326,33.4290,-945.0000,0.1730,-0.0830,0.2130
36,MAX_IF43b-1_001_thumb_w1405-0001:0018-1357,-990932,20.6230,3.3080,18,23,-140,326.6730,706.1350,325.1700,709.5970,-16722.5440,787,1309,-917,-1335,-1207.0550,-890.4100,52.7190,0.5820,-1645.8240,-131854372.0000,20,-6.5130,-300.7630,0,-131854372.0000,0,791,1321,11.5530,-946.3520,0.0560,-0.0290,0.2190
37,MAX_IF43b-1_001_thumb_w1405-0001:0019-1373,-990869,17.7200,0.9540,16,23,-145,-190.8000,723.8030,-192.2900,726.9070,-16656.6860,265,1321,-923,-1328,-1209.5930,-887.8080,-38.1190,0.4070,-1639.8020,-131863384.0000,17,-6.3280,-299.9750,0,-131863384.0000,0,265,1392,-92.4050,-941.2690,-0.0230,0.0130,0.1810
37,MAX_IF43b-1_001_thumb_w1405-0002:0001-0183,-955805,293.7030,115.5420,344,16,346,-200.4770,-465.0630,-203.9190,-486.2470,-16308.0100,192,78,-770,-1221,-1061.3920,-757.1940,-75.9680,0.8300,-1504.1530,-109745585.0000,305,-5.3600,-44.3680,0,-109745585.0000,0,193,210,-116.3630,-813.0000,-0.1500,0.0910,0.3080
38,MAX_IF43b-1_001_thumb_w1405-0002:0002-0419,-965172,270.2110,108.8710,347,25,241,-348.6860,-225.6590,-347.0560,-242.4690,-16391.3900,58,330,-804,-1253,-1089.9950,-783.7170,-79.5340,0.8070,-1533.6210,-114446723.0000,279,-5.2790,-44.5160,0,-114446723.0000,0,60,466,-105.4550,-847.1000,-0.1300,0.0780,0.3000
39,MAX_IF43b-1_001_thumb_w1405-0002:0003-0504,-989987,59.9370,-5.7080,66,46,-292,17.9900,-138.3730,19.1400,-156.9870,-16744.5680,484,457,-921,-1338,-1204.7920,-880.9880,57.8310,0.7710,-1643.4200,-125858004.0000,63,-4.8110,-43.7420,0,-125858004.0000,0,490,475,13.9370,-931.6130,-0.0740,0.0430,0.2830
40,MAX_IF43b-1_001_thumb_w1405-0002:0004-0580,-993573,53.3190,-7.3870,67,44,-305,27.9570,-70.8230,28.2770,-89.4480,-16836.7940,502,552,-941,-1376,-1230.5390,-909.3180,92.3730,0.7460,-1674.6580,-126555167.0000,58,-4.9260,-43.6130,0,-126555167.0000,0,502,552,33.2510,-968.0000,0.1140,-0.0570,0.3000
41,MAX_IF43b-1_001_thumb_w1405-0002:0005-0711,-976281,213.0660,88.0350,107,24,131,-1.7510,71.7540,3.6610,50.6930,-16509.6150,417,639,-838,-1288,-1127.6650,-822.6810,-73.9290,0.7670,-1560.4520,-120067515.0000,216,-5.1340,-44.5650,0,-120067515.0000,0,417,768,-103.2350,-880.9300,-0.0590,0.0340,0.3000
42,MAX_IF43b-1_001_thumb_w1405-0002:0006-0823,-962413,218.4920,83.9640,198,16,281,269.2890,171.0650,270.3840,148.5940,-16368.0510,677,713,-811,-1211,-1096.3350,-762.2960,19.0380,0.8200,-1537.6540,-115154180.0000,223,-5.1990,-44.2090,0,-115154180.0000,0,762,934,-47.4830,-821.4840,-0.2910,0.2000,0.3040
43,MAX_IF43b-1_001_thumb_w1405-0002:0007-0840,-981459,168.7190,61.7040,141,26,32,-9.4890,186.7510,-7.0950,169.1740,-16580.1420,422,780,-862,-1312,-1148.5570,-844.3720,87.5760,0.7520,-1589.5480,-122534394.0000,164,-4.8780,-44.1920,0,-122534394.0000,0,422,789,29.5160,-905.0260,0.0010,0.0000,0.2970
44,MAX_IF43b-1_001_thumb_w1405-0002:0008-1029,-967067,166.5130,62.0210,162,21,34,-37.2660,384.1370,-38.2560,366.1270,-16418.3950,382,922,-830,-1217,-1089.2340,-795.0540,-28.7850,0.8230,-1537.8310,-118336859.0000,169,-5.1800,-44.3520,0,-118336859.0000,0,412,1121,-71.6140,-853.2030,-0.0440,0.0250,0.3040
45,MAX_IF43b-1_001_thumb_w1405-0002:0009-1066,-971920,183.3520,67.9320,244,21,-4,188.3330,419.7430,187.9870,404.1110,-16453.1220,607,975,-827,-1249,-1099.2110,-815.8440,-41.9100,0.7670,-1543.9920,-119336487.0000,194,-5.4260,-44.7270,0,-119336487.0000,0,620,1135,-87.3220,-875.0320,0.0710,-0.0360,0.2920
46,MAX_IF43b-1_001_thumb_w1405-0002:0010-1093,-967549,221.5380,86.1880,175,19,159,-301.7300,442.0820,-302.1370,425.0020,-16414.8800,111,994,-813,-1233,-1087.4200,-799.1260,-44.3400,0.8000,-1534.1950,-116840919.0000,220,-5.0890,-44.2240,0,-116840919.0000,0,151,1182,-76.0870,-856.0640,-0.0010,0.0010,0.3000
47,MAX_IF43b-1_001_thumb_w1405-0002:0011-1098,-990104,33.4950,-7.8690,35,30,-333,405.7240,446.0920,406.3200,427.6690,-16739.2300,860,1044,-913,-1323,-1195.0420,-889.1980,54.5560,0.7330,-1642.0480,-126070540.0000,36,-4.7180,-44.1590,0,-126070540.0000,0,881,1053,1.8830,-948.5790,0.1900,-0.0900,0.2850
