nucleus_id,Mean_normalized_w1405-0001,Mean_normalized_w1405-0002,Mean_normalized_w1405-0003,Mean_normalized_w1405-0004,Median_normalized_w1405-0001,Median_normalized_w1405-0002,Median_normalized_w1405-0003,Median_normalized_w1405-0004,Area_w1405-0001,Area_w1405-0002,Area_w1405-0003,Area_w1405-0004,total_intensity_w1405-0001,total_intensity_w1405-0002,total_intensity_w1405-0003,total_intensity_w1405-0004,Skew_w1405-0001,Skew_w1405-0002,Skew_w1405-0003,Skew_w1405-0004,Kurt_w1405-0001,Kurt_w1405-0002,Kurt_w1405-0003,Kurt_w1405-0004,ratio_RNAPII_to_DNA,cell_cycle,ratio_RNAPII_to_DNA_MvsI,RNAPII_abs_MvsI
MAX_IF43b-1_011_thumb0011-0505,160.969,50.499,14.468,165.643,177.0,58.0,18.0,147.0,9853.0,9853.0,9853.0,9853.0,1586027.557,497566.647,142553.204,1632080.479,-0.15,0.547,0.766,1.509,-1.056,-0.383,0.718,1.637,0.3137187905745827,M,0.08517341502391321,0.2865375865059331
MAX_IF43b-1_002_thumb0018-1153,51.893,66.912,9.551,135.975,52.0,79.0,11.0,132.0,8061.0,8061.0,8061.0,8061.0,418309.473,539377.632,76990.611,1096094.475,0.092,-0.155,1.499,1.633,-0.967,-0.18,2.372,3.017,1.289422465457769,M,0.35007311672484137,0.379666983272639
MAX_IF43b-1_009_thumb0004-0233,141.677,46.084,22.597,153.358,146.0,59.0,25.0,140.0,5935.0,5935.0,5935.0,5935.0,840852.995,273508.54,134113.195,910179.73,-0.164,0.423,0.238,2.389,-0.972,-0.729,-0.786,7.757,0.32527509758111767,M,0.08831090682352334,0.26148632916571457
MAX_IF43b-1_002_thumb0006-0520,151.671,54.044,17.781,170.66,178.0,60.0,20.0,149.0,9676.0,9676.0,9676.0,9676.0,1467568.596,522929.744,172048.956,1651306.16,-0.667,1.116,1.57,1.374,-0.968,1.984,4.611,1.355,0.35632388525163017,M,0.09674053028792087,0.3066523559897552
MAX_IF43b-1_009_thumb0018-1190,75.623,26.254,11.468,142.564,72.0,40.0,13.0,133.0,5660.0,5660.0,5660.0,5660.0,428026.18,148597.64,64908.88,806912.24,0.218,0.819,1.164,2.103,-1.163,0.564,1.603,4.379,0.3471695119209764,M,0.09425515401336759,0.1489684507837139
MAX_IF43b-1_007_thumb0012-0904,128.881,50.969,15.225,167.798,144.0,66.0,17.0,145.0,10920.0,10920.0,10920.0,10920.0,1407380.52,556581.48,166257.0,1832354.16,-0.573,0.652,1.404,1.481,-0.94,0.244,4.512,1.616,0.3954733436270668,M,0.10736945391747231,0.2892044247731817
MAX_IF43b-1_007_thumb0010-0743,139.689,74.051,14.737,186.278,143.0,91.0,16.0,157.0,12042.0,12042.0,12042.0,12042.0,1682134.938,891722.142,177462.954,2243159.676,-0.234,0.199,2.369,1.493,-0.955,-0.691,13.586,1.553,0.5301133231678944,M,0.1439236776387823,0.4201745543149538
MAX_IF43b-1_007_thumb0008-0614,98.005,5.289,15.08,131.145,94.0,22.0,17.0,128.0,11818.0,11818.0,11818.0,11818.0,1158223.09,62505.402,178215.44,1549871.61,0.334,3.437,1.173,8.788,-1.08,38.031,2.994,110.222,0.05396663435539003,M,0.014651728501747627,0.030010441692506388
MAX_IF43b-1_009_thumb0011-0730,155.667,98.311,15.869,177.59,153.0,114.0,19.0,157.0,4860.0,4860.0,4860.0,4860.0,756541.62,477791.46,77123.34,863087.4,0.04,0.011,0.168,1.331,-1.279,-1.035,-0.839,1.038,0.6315468275228533,M,0.17146247424045066,0.5578288018967661
MAX_IF43b-1_009_thumb0010-0728,155.661,85.942,13.216,166.132,156.0,101.0,16.0,147.0,5000.0,5000.0,5000.0,5000.0,778305.0,429710.0,66080.0,830660.0,0.003,0.09,0.477,1.211,-1.243,-0.735,-0.056,0.436,0.5521100339841064,M,0.14989569791872412,0.48764556247634405
