,Label,Mean_normalized,Median_normalized,Area,total_intensity,Skew,Kurt
55,MAX_IF43b-1_001_thumb_w1405-0002:0017-1339,125.9970,127,6502.0000,819232.4940,-0.0200,-0.9080
56,MAX_IF43b-1_001_thumb_w1405-0002:0018-1357,138.7970,146,6380.0000,885524.8600,-0.2360,-0.4110
57,MAX_IF43b-1_001_thumb_w1405-0002:0019-1373,147.4960,159,6443.0000,950316.7280,-0.4290,-0.2980
58,MAX_IF43b-1_001_thumb_w1405-0003:0001-0183,8.8220,9,41507.0000,366174.7540,4.6440,35.2840
59,MAX_IF43b-1_001_thumb_w1405-0003:0002-0419,16.4330,15,32140.0000,528156.6200,4.7630,40.4000
60,MAX_IF43b-1_001_thumb_w1405-0003:0003-0504,16.1880,17,7325.0000,118577.1000,0.6510,-0.4850
61,MAX_IF43b-1_001_thumb_w1405-0003:0004-0580,14.2700,15,3739.0000,53355.5300,0.9570,0.7750
62,MAX_IF43b-1_001_thumb_w1405-0003:0005-0711,9.7300,9,21031.0000,204631.6300,3.5220,16.0650
63,MAX_IF43b-1_001_thumb_w1405-0003:0006-0823,6.3490,7,34899.0000,221573.7510,3.8810,23.2070
64,MAX_IF43b-1_001_thumb_w1405-0003:0007-0840,9.7900,8,15853.0000,155200.8700,3.2750,11.9530
65,MAX_IF43b-1_001_thumb_w1405-0003:0008-1029,11.3500,10,30245.0000,343280.7500,3.5270,14.8130
66,MAX_IF43b-1_001_thumb_w1405-0003:0009-1066,12.3630,12,25392.0000,313921.2960,1.8900,4.9200
67,MAX_IF43b-1_001_thumb_w1405-0003:0010-1093,4.1400,6,29763.0000,123218.8200,1.7970,10.6150
68,MAX_IF43b-1_001_thumb_w1405-0003:0011-1098,11.2010,12,7208.0000,80736.8080,2.1590,11.9270
69,MAX_IF43b-1_001_thumb_w1405-0003:0012-1166,11.0880,12,27387.0000,303667.0560,2.1800,11.0140
70,MAX_IF43b-1_001_thumb_w1405-0003:0013-1182,15.3080,13,12288.0000,188104.7040,1.9920,5.3330
71,MAX_IF43b-1_001_thumb_w1405-0003:0014-1289,11.5110,11,21562.0000,248200.1820,1.7070,4.2930
72,MAX_IF43b-1_001_thumb_w1405-0003:0015-1289,8.9320,8,24441.0000,218307.0120,2.8810,10.7130
73,MAX_IF43b-1_001_thumb_w1405-0003:0016-1267,10.9760,11,10464.0000,114852.8640,2.4680,7.9370
74,MAX_IF43b-1_001_thumb_w1405-0003:0017-1339,4.4010,5,6502.0000,28615.3020,1.9260,4.7900
75,MAX_IF43b-1_001_thumb_w1405-0003:0018-1357,4.2190,5,6380.0000,26917.2200,1.6400,2.7170
76,MAX_IF43b-1_001_thumb_w1405-0003:0019-1373,3.9720,5,6443.0000,25591.5960,1.8350,5.7820
77,MAX_IF43b-1_001_thumb_w1405-0004:0001-0183,141.6820,131,41507.0000,5880794.7740,4.7160,27.4300
78,MAX_IF43b-1_001_thumb_w1405-0004:0002-0419,144.0970,135,32140.0000,4631277.5800,4.3460,24.5790
79,MAX_IF43b-1_001_thumb_w1405-0004:0003-0504,177.3090,151,7325.0000,1298788.4250,1.4000,1.2180
80,MAX_IF43b-1_001_thumb_w1405-0004:0004-0580,171.8230,145,3739.0000,642446.1970,1.3130,0.6250
81,MAX_IF43b-1_001_thumb_w1405-0004:0005-0711,134.5150,126,21031.0000,2828984.9650,4.9530,31.9850
82,MAX_IF43b-1_001_thumb_w1405-0004:0006-0823,139.6600,131,34899.0000,4873994.3400,3.3360,13.2740
83,MAX_IF43b-1_001_thumb_w1405-0004:0007-0840,133.2910,126,15853.0000,2113062.2230,4.4470,24.1860
84,MAX_IF43b-1_001_thumb_w1405-0004:0008-1029,135.9270,128,30245.0000,4111112.1150,4.5370,25.3640
85,MAX_IF43b-1_001_thumb_w1405-0004:0009-1066,142.0780,131,25392.0000,3607644.5760,4.3130,24.8770
86,MAX_IF43b-1_001_thumb_w1405-0004:0010-1093,140.1440,130,29763.0000,4171105.8720,5.5750,41.2280
87,MAX_IF43b-1_001_thumb_w1405-0004:0011-1098,134.5350,130,7208.0000,969728.2800,2.2950,5.9710
88,MAX_IF43b-1_001_thumb_w1405-0004:0012-1166,139.9030,130,27387.0000,3831523.4610,4.3610,24.5210
89,MAX_IF43b-1_001_thumb_w1405-0004:0013-1182,137.4570,130,12288.0000,1689071.6160,4.6020,27.4020
90,MAX_IF43b-1_001_thumb_w1405-0004:0014-1289,139.3840,130,21562.0000,3005397.8080,4.2740,23.3670
91,MAX_IF43b-1_001_thumb_w1405-0004:0015-1289,139.3860,129,24441.0000,3406733.2260,3.8330,17.5690
92,MAX_IF43b-1_001_thumb_w1405-0004:0016-1267,146.4740,134,10464.0000,1532703.9360,3.8210,19.2830
93,MAX_IF43b-1_001_thumb_w1405-0004:0017-1339,125.9960,124,6502.0000,819225.9920,3.4310,14.8860
94,MAX_IF43b-1_001_thumb_w1405-0004:0018-1357,127.2820,123,6380.0000,812059.1600,3.1750,11.5860
95,MAX_IF43b-1_001_thumb_w1405-0004:0019-1373,127.1090,124,6443.0000,818963.2870,2.7790,8.3230
